Percentual da população de menos de 15 anos e da população de 65 anos e mais em relação à população de 15 a 64 anos
Sigla,Código,Município,1991,2000,2010,
AC,1200013,Acrelândia,93.59,79.8,62.68,
AC,1200054,Assis Brasil,102.23,83.6,66.61,
AC,1200104,Brasiléia,82.07,73.64,58.65,
AC,1200138,Bujari,91.02,79,64.07,
AC,1200179,Capixaba,85.2,80.01,68.72,
AC,1200203,Cruzeiro do Sul,105.18,81.56,67.66,
AC,1200252,Epitaciolândia,82.41,73.42,58.9,
AC,1200302,Feijó,109.71,92.37,82.09,
AC,1200328,Jordão,129,125.77,105.47,
AC,1200336,Mâncio Lima,112.6,89.92,75.06,
AC,1200344,Manoel Urbano,107.87,95.45,78.87,
AC,1200351,Marechal Thaumaturgo,134.54,115.1,97.78,
AC,1200385,Plácido de Castro,94.62,76.7,66.37,
AC,1200393,Porto Walter,137.21,109.46,106.25,
AC,1200401,Rio Branco,76.04,63.02,50.39,
AC,1200427,Rodrigues Alves,124.09,96.96,85.52,
AC,1200435,Santa Rosa do Purus,103.07,129.16,92.26,
AC,1200450,Senador Guiomard,87.44,72.76,61.95,
AC,1200500,Sena Madureira,102.79,84.65,64.85,
AC,1200609,Tarauacá,112.33,96.24,85.98,
AC,1200708,Xapuri,89.47,79.81,64.36,
AC,1200807,Porto Acre,90.54,78.48,67.08,
AL,2700102,Água Branca,98.44,81.57,67.68,
AL,2700201,Anadia,90.81,71.2,57.68,
AL,2700300,Arapiraca,75.01,62.74,50.8,
AL,2700409,Atalaia,85.02,73.4,61.99,
AL,2700508,Barra de Santo Antônio,87.94,76.15,59.31,
AL,2700607,Barra de São Miguel,87.15,63.02,51.57,
AL,2700706,Batalha,88.88,75.82,57.35,
AL,2700805,Belém,89.11,72.11,56.28,
AL,2700904,Belo Monte,96.51,81.14,60.1,
AL,2701001,Boca da Mata,85.5,66.53,56.49,
AL,2701100,Branquinha,90.26,77.26,62.88,
AL,2701209,Cacimbinhas,85.62,80.67,63.15,
AL,2701308,Cajueiro,87.87,73.56,62.41,
AL,2701357,Campestre,81.93,77.09,67.25,
AL,2701407,Campo Alegre,93.74,67.43,56.97,
AL,2701506,Campo Grande,100.49,80.12,60.48,
AL,2701605,Canapi,101.1,90.5,73.8,
AL,2701704,Capela,91.02,70.63,64.38,
AL,2701803,Carneiros,104.86,92.6,74.16,
AL,2701902,Chã Preta,105.59,77.21,66.53,
AL,2702009,Coité do Nóia,95.75,71.08,59.55,
AL,2702108,Colônia Leopoldina,91.15,74.91,65.05,
AL,2702207,Coqueiro Seco,85,67.5,53.16,
AL,2702306,Coruripe,88.21,69.45,54.88,
AL,2702355,Craíbas,90.32,78.31,60.02,
AL,2702405,Delmiro Gouveia,82.47,67.87,55.78,
AL,2702504,Dois Riachos,86.95,80.49,63.19,
AL,2702553,Estrela de Alagoas,94.45,74.19,59.95,
AL,2702603,Feira Grande,92.45,74.25,59.29,
AL,2702702,Feliz Deserto,94.68,81.03,57.2,
AL,2702801,Flexeiras,91.38,76.27,64.31,
AL,2702900,Girau do Ponciano,91.01,78.42,60.53,
AL,2703007,Ibateguara,98.53,82.16,69.41,
AL,2703106,Igaci,95.08,72.13,58.54,
AL,2703205,Igreja Nova,96.35,78.65,56.22,
AL,2703304,Inhapi,103.4,91.57,74.96,
AL,2703403,Jacaré dos Homens,98.78,79.77,62.7,
AL,2703502,Jacuípe,99.23,79.28,64.17,
AL,2703601,Japaratinga,94.33,74.85,62.93,
AL,2703700,Jaramataia,102.03,73.71,55.86,
AL,2703759,Jequiá da Praia,93.76,73.48,58.78,
AL,2703809,Joaquim Gomes,91.64,80.09,68.97,
AL,2703908,Jundiá,90.87,72.86,58.69,
AL,2704005,Junqueiro,94.59,71.24,56.65,
AL,2704104,Lagoa da Canoa,86.69,71.07,58.23,
AL,2704203,Limoeiro de Anadia,95.63,76.96,55.8,
AL,2704302,Maceió,60.4,52.68,43.98,
AL,2704401,Major Isidoro,85.08,76.14,60.76,
AL,2704500,Maragogi,98.22,76.41,60.01,
AL,2704609,Maravilha,98.05,84.36,64.89,
AL,2704708,Marechal Deodoro,82.65,66.61,52.92,
AL,2704807,Maribondo,87.76,66.67,56.36,
AL,2704906,Mar Vermelho,83.48,67.41,58.71,
AL,2705002,Mata Grande,100.66,88.69,71.86,
AL,2705101,Matriz de Camaragibe,89.11,74.04,61.45,
