Renda per capita média
Sigla,Código,Município,1991,2000,2010,
AC,1200013,Acrelândia,223.65,268.77,303.76,
AC,1200054,Assis Brasil,178.52,199.63,291.33,
AC,1200104,Brasiléia,176.76,277.15,376.07,
AC,1200138,Bujari,194.84,238.86,340.95,
AC,1200179,Capixaba,195.72,227.36,336.17,
AC,1200203,Cruzeiro do Sul,194.63,266.84,450.06,
AC,1200252,Epitaciolândia,229.95,276.34,467.83,
AC,1200302,Feijó,139.3,116.68,259.43,
AC,1200328,Jordão,63.5,62.65,178.03,
AC,1200336,Mâncio Lima,115.12,167.7,295.5,
AC,1200344,Manoel Urbano,111.5,184.82,307.7,
AC,1200351,Marechal Thaumaturgo,75.84,93.59,157.27,
AC,1200385,Plácido de Castro,148.43,228.86,321.16,
AC,1200393,Porto Walter,72.49,134.95,204.19,
AC,1200401,Rio Branco,437.12,527.43,744.67,
AC,1200427,Rodrigues Alves,88.55,130.54,200.58,
AC,1200435,Santa Rosa do Purus,84.23,74.55,201.58,
AC,1200450,Senador Guiomard,223.06,300.18,455.06,
AC,1200500,Sena Madureira,161.96,212.97,320.8,
AC,1200609,Tarauacá,131.44,166.6,251.53,
AC,1200708,Xapuri,175.31,230.69,382.24,
AC,1200807,Porto Acre,137.41,217.7,319.71,
AL,2700102,Água Branca,78.7,138.86,213,
AL,2700201,Anadia,118.12,170.3,239.53,
AL,2700300,Arapiraca,219.56,258.45,423.28,
AL,2700409,Atalaia,118.92,152.85,237.33,
AL,2700508,Barra de Santo Antônio,95.27,140.2,247.81,
AL,2700607,Barra de São Miguel,154.82,218,422.78,
AL,2700706,Batalha,147.26,246.02,265.62,
AL,2700805,Belém,126.56,144.86,309.5,
AL,2700904,Belo Monte,81.56,108.35,187.77,
AL,2701001,Boca da Mata,131.36,170.78,260.2,
AL,2701100,Branquinha,79.46,121.11,221.93,
AL,2701209,Cacimbinhas,131.92,142.84,259.72,
AL,2701308,Cajueiro,115.66,127.46,232.85,
AL,2701357,Campestre,117.67,158.19,245.43,
AL,2701407,Campo Alegre,140.4,147.16,217.72,
AL,2701506,Campo Grande,73.75,114.38,181.54,
AL,2701605,Canapi,90.55,83.83,183.83,
AL,2701704,Capela,108.3,143.42,251.36,
AL,2701803,Carneiros,102.67,117.4,199.58,
AL,2701902,Chã Preta,99.58,121.46,226.6,
AL,2702009,Coité do Nóia,107.71,123.33,203.15,
AL,2702108,Colônia Leopoldina,98.44,156.88,242.28,
AL,2702207,Coqueiro Seco,163.51,192.9,299.47,
AL,2702306,Coruripe,155.81,197.45,315.85,
AL,2702355,Craíbas,97.79,116,199.54,
AL,2702405,Delmiro Gouveia,143.2,226.71,332.13,
AL,2702504,Dois Riachos,98.28,148.66,194.81,
AL,2702553,Estrela de Alagoas,92.68,99.88,196.92,
AL,2702603,Feira Grande,98.17,135.19,193.07,
AL,2702702,Feliz Deserto,115.58,120.65,245.49,
AL,2702801,Flexeiras,99.04,131.99,213.44,
AL,2702900,Girau do Ponciano,99.28,110.69,177.55,
AL,2703007,Ibateguara,94.49,142.25,199.68,
AL,2703106,Igaci,90.71,93.96,241.17,
AL,2703205,Igreja Nova,90.97,114.65,254.34,
AL,2703304,Inhapi,76.86,102.21,180.64,
AL,2703403,Jacaré dos Homens,122.99,222.72,235.11,
AL,2703502,Jacuípe,121.11,118.77,219.52,
AL,2703601,Japaratinga,121.44,168.79,260.92,
AL,2703700,Jaramataia,85.43,124.11,219.1,
AL,2703759,Jequiá da Praia,117.17,127.56,199.39,
AL,2703809,Joaquim Gomes,95.55,123.78,190.23,
AL,2703908,Jundiá,133.86,126.24,282.87,
AL,2704005,Junqueiro,115.22,160.89,306.96,
AL,2704104,Lagoa da Canoa,100.05,119.75,231.56,
AL,2704203,Limoeiro de Anadia,92.83,125.03,285.98,
AL,2704302,Maceió,455.26,583.12,792.54,
AL,2704401,Major Isidoro,121.5,124.09,270.04,
AL,2704500,Maragogi,109.95,144.21,253.86,
AL,2704609,Maravilha,78.36,85.8,229.39,
AL,2704708,Marechal Deodoro,140.73,224.09,431.43,
AL,2704807,Maribondo,144.68,206.13,297.05,
AL,2704906,Mar Vermelho,98.35,130.31,229.81,
AL,2705002,Mata Grande,85.42,122.38,186.87,
AL,2705101,Matriz de Camaragibe,102.61,131.88,231.82,
AL,2705200,Messias,157.08,152.81,256.45,
AL,2705309,Minador do Negrão,105.59,128.64,231.37,
AL,2705408,Monteirópolis,79.12,197.95,176.62,
AL,2705507,Murici,115.1,155.8,233.16,
AL,2705606,Novo Lino,170.1,200.13,239.75,
AL,2705705,Olho d'Água das Flores,149.47,192.01,274.46,
AL,2705804,Olho d'Água do Casado,140.74,170.87,211.97,
AL,2705903,Olho d'Água Grande,73.67,98.98,151.62,
AL,2706000,Olivença,72.42,82.3,195.19,
AL,2706109,Ouro Branco,80.04,126.89,227.56,
AL,2706208,Palestina,83.36,109.76,185.39,
AL,2706307,Palmeira dos Índios,182.95,234.81,391.37,
AL,2706406,Pão de Açúcar,145.98,174.43,224.33,
AL,2706422,Pariconha,72.56,101.98,211.13,
AL,2706448,Paripueira,90.29,168.82,324.93,
AL,2706505,Passo de Camaragibe,100.7,133.65,194.73,
AL,2706604,Paulo Jacinto,77.56,126.8,247.2,
AL,2706703,Penedo,198.63,255.31,339.15,
AL,2706802,Piaçabuçu,153.88,164.28,227.65,
AL,2706901,Pilar,153.23,185.83,292.06,
AL,2707008,Pindoba,132.07,124.19,292.88,
AL,2707107,Piranhas,250.37,257.64,265.96,
AL,2707206,Poço das Trincheiras,67.71,69.2,162.21,
AL,2707305,Porto Calvo,150.9,138.44,257.64,
AL,2707404,Porto de Pedras,89.28,99.56,233.72,
AL,2707503,Porto Real do Colégio,98.2,120.15,195.26,
AL,2707602,Quebrangulo,116.1,151.14,224.78,
AL,2707701,Rio Largo,175.33,232.77,369.11,
AL,2707800,Roteiro,110.91,130.36,208.84,
AL,2707909,Santa Luzia do Norte,161.37,174.56,295.95,
AL,2708006,Santana do Ipanema,125.53,188.57,293.85,
AL,2708105,Santana do Mundaú,107.16,142.69,194.87,
AL,2708204,São Brás,86.85,134.8,220.92,
AL,2708303,São José da Laje,127.56,170.31,284.02,
AL,2708402,São José da Tapera,63.2,87.03,188.84,
AL,2708501,São Luís do Quitunde,122.22,141.55,244.85,
AL,2708600,São Miguel dos Campos,181,266.49,360.82,
AL,2708709,São Miguel dos Milagres,103.23,160.08,237.78,
AL,2708808,São Sebastião,96.55,139.48,225.84,
AL,2708907,Satuba,196.95,253.41,377.42,
AL,2708956,Senador Rui Palmeira,71.45,79.05,159.61,
AL,2709004,Tanque d'Arca,94.61,130.62,217.85,
