População Economicamente Ativa (PEA) - Total
Sigla,Código,Município,1970,1980,1991,2000,
AC,1200013,Acrelândia,,,,2908.40603878,
AC,1200054,Assis Brasil,,454,974.92861542,1383.83932238,
AC,1200104,Brasiléia,3581,4104,7655.93639951,6967.69446218,
AC,1200138,Bujari,,,,2195.94067485,
AC,1200179,Capixaba,,,,1928.39185308,
AC,1200203,Cruzeiro do Sul,11908,13225,18587.32774469,24152.08025431,
AC,1200252,Epitaciolândia,,,,4176.13096918,
AC,1200302,Feijó,4500,4872,4822.18407267,7375.8291636,
AC,1200328,Jordão,,,,724.1798825,
AC,1200336,Mâncio Lima,,1817,2880.37945596,3428.24447533,
AC,1200344,Manoel Urbano,,1676,1205.4685736,2685.43357475,
AC,1200351,Marechal Thaumaturgo,,,,1714.09745312,
AC,1200385,Plácido de Castro,,3332,5135.29051447,5822.38290976,
AC,1200393,Porto Walter,,,,2029.70946062,
AC,1200401,Rio Branco,27123,40159,77235.1715315903,107686.117007359,
AC,1200427,Rodrigues Alves,,,,2368.40239159,
AC,1200435,Santa Rosa do Purus,,,,388.21474672,
AC,1200450,Senador Guiomard,,3406,6217.69345127,6830.36626209,
AC,1200500,Sena Madureira,6974,6172,6942.95819362,11266.88173913,
AC,1200609,Tarauacá,6579,8801,7774.65497011,8322.64482524,
AC,1200708,Xapuri,3875,5047,4402.17693073,4629.26487413,
AC,1200807,Porto Acre,,,,3930.81880953,
AL,2700102,Água Branca,6635,7624,8160.1585488,7706.33715486,
AL,2700201,Anadia,2980,4460,4799.5967294,6029.74785275,
AL,2700300,Arapiraca,30796,42910,58475.7110007799,80467.8999812101,
AL,2700409,Atalaia,13294,14475,11821.51238458,12914.1552932,
AL,2700508,Barra de Santo Antônio,1766,2955,4929.75560762,3726.72181698,
AL,2700607,Barra de São Miguel,395,694,1482.35852882,2659.01739058,
AL,2700706,Batalha,2639,3382,4570.36256004,6041.03582544,
AL,2700805,Belém,2061,1602,1893.98471628,2119.04338547,
AL,2700904,Belo Monte,1437,1761,2302.10522585,2589.68843781,
AL,2701001,Boca da Mata,5006,5898,7673.89158835,8113.55820318,
AL,2701100,Branquinha,3091,3209,3500.11868071,3392.87387888,
AL,2701209,Cacimbinhas,3130,2545,4455.14336779,3853.24357443,
AL,2701308,Cajueiro,3845,4620,6601.01200532,6043.9874194,
AL,2701357,Campestre,,,,1818.57599724,
AL,2701407,Campo Alegre,2360,6252,11531.04287224,11129.25891431,
AL,2701506,Campo Grande,2448,2565,2835.17741471,4089.87551625,
AL,2701605,Canapi,3942,5450,6648.264603,5940.81134226,
