Capital residencial - total
Sigla,Código,Município,1970,1980,1991,2000,
AC,1200013,Acrelândia,,,,27180.8138704913,
AC,1200054,Assis Brasil,,2789.8203273927,7412.8728044085,15783.4309450918,
AC,1200104,Brasiléia,39697.9362531256,34578.4997540769,51822.3479622641,76934.7892915889,
AC,1200138,Bujari,,,,17828.4134720788,
AC,1200179,Capixaba,,,,17082.8041214712,
AC,1200203,Cruzeiro do Sul,110490.13840754,119575.893405263,150392.81424003,279409.88529906,
AC,1200252,Epitaciolândia,,,,47485.5096168695,
AC,1200302,Feijó,39576.3483266535,34654.1697590147,35077.088897903,74894.6024904956,
AC,1200328,Jordão,,,,4139.4591381052,
AC,1200336,Mâncio Lima,,10138.3468415266,10695.0816069636,26660.5111112305,
AC,1200344,Manoel Urbano,,8909.252733708,6299.4926294463,15533.3290052687,
AC,1200351,Marechal Thaumaturgo,,,,5705.5045506349,
AC,1200385,Plácido de Castro,,21359.3395305771,27860.0941106954,60770.9780392072,
AC,1200393,Porto Walter,,,,12547.3376382895,
AC,1200401,Rio Branco,384582.228502468,742237.837510892,1281967.26963756,2322085.11617101,
AC,1200427,Rodrigues Alves,,,,16617.0362462364,
AC,1200435,Santa Rosa do Purus,,,,3533.91523608,
AC,1200450,Senador Guiomard,,23402.9104826594,39986.6001410901,95921.1149847695,
AC,1200500,Sena Madureira,52138.6306994547,60834.1155338531,48567.7982569764,105013.355231981,
AC,1200609,Tarauacá,53000.7522638733,56823.4465153563,46682.2348149071,76174.7384487748,
AC,1200708,Xapuri,36905.5243028523,35343.4532777692,28906.526812526,63221.8049530583,
AC,1200807,Porto Acre,,,,40277.5285698346,
AL,2700102,Água Branca,36587.4861048161,44837.9984761035,46744.4485936671,72688.6801969546,
AL,2700201,Anadia,26071.0773921143,40758.4215594485,43358.2160996604,82126.8149652335,
AL,2700300,Arapiraca,349052.652455899,722836.218164089,906714.766228254,1220331.1897035,
AL,2700409,Atalaia,110247.016522973,134696.623995222,100107.654074311,155172.095458871,
AL,2700508,Barra de Santo Antônio,15620.533259807,33788.61487808,29653.4172586115,64136.4359985319,
AL,2700607,Barra de São Miguel,3799.3053172743,7482.3624691819,17252.9710333245,66765.165620428,
AL,2700706,Batalha,24422.8825386437,35312.4081176081,42036.6499744369,64699.3217607891,
AL,2700805,Belém,14126.2977175503,9053.4827891971,11961.4256478696,17878.756174162,
AL,2700904,Belo Monte,7433.3884802922,10437.8366944692,9415.7662645677,18264.7951885655,
AL,2701001,Boca da Mata,36214.8152481435,70302.1478456134,87807.2787947001,143214.66386545,
AL,2701100,Branquinha,22310.708707256,24750.1951806722,12806.7757268481,36535.8746325106,
AL,2701209,Cacimbinhas,14920.5243302149,24690.6429601368,29194.8414849803,25185.2475607719,
AL,2701308,Cajueiro,37928.5742286458,51993.7938351691,57839.2819563556,88307.915439702,
AL,2701357,Campestre,,,,34345.435476524,
AL,2701407,Campo Alegre,15981.1224766551,64442.1421809568,119352.145863635,172064.8172267,
AL,2701506,Campo Grande,1373.3458033919,16827.5409907033,16863.6212133316,29623.1905564568,
AL,2701605,Canapi,16620.1428532349,21981.2501041516,26410.50635556,32598.9494383202,
AL,2701704,Capela,54139.243569756,56467.7719499721,57063.569623216,104054.928232321,
AL,2701803,Carneiros,6065.8409347606,8118.6659375046,11507.2499125631,20485.6749061254,
AL,2701902,Chã Preta,11629.023909859,14412.9928224102,14017.461279477,28878.6096153555,
AL,2702009,Coité do Nóia,10407.7292067336,10865.1909292237,16962.9785294518,29228.2045822367,
AL,2702108,Colônia Leopoldina,37396.9115423585,44062.9251954445,49779.7971564254,96242.8531274536,
AL,2702207,Coqueiro Seco,8817.219523782,18962.4629177775,15799.1575669946,39082.6641963468,
AL,2702306,Coruripe,63879.9246794456,151517.97408675,155212.859846506,236245.686277279,
AL,2702355,Craíbas,,,35841.8660297078,57817.3840352857,
AL,2702405,Delmiro Gouveia,92214.4476370319,163343.299612112,195593.691121591,326548.551062695,
AL,2702504,Dois Riachos,7419.972336842,16629.1114669789,22403.6801059693,33675.3336142764,
AL,2702553,Estrela de Alagoas,,,,35692.4918391149,
AL,2702603,Feira Grande,19557.4436763119,40585.6018301229,32639.3050965204,55162.1777429936,
AL,2702702,Feliz Deserto,5614.7057576455,6058.9448259833,10952.4256168036,17643.4551455723,
AL,2702801,Flexeiras,30692.3546553076,39598.3572099986,29042.9901484036,48425.8597062214,
AL,2702900,Girau do Ponciano,24116.0530735731,36147.0012168251,55793.2990782793,79070.1284777916,
AL,2703007,Ibateguara,22325.0022865517,28027.4410632084,38293.9579824425,67241.8265664321,
AL,2703106,Igaci,39120.4738224103,40579.0332100378,42637.2867567987,62097.0541957844,
AL,2703205,Igreja Nova,20176.2714124279,24958.3769119507,32040.950736526,54228.0883278216,
AL,2703304,Inhapi,9896.1220593408,20709.9625558694,25471.6799216983,45824.9412558105,
AL,2703403,Jacaré dos Homens,9838.571392332,11414.4347424376,11749.8107567633,19644.5246103296,
AL,2703502,Jacuípe,23212.2588198748,15882.7963072835,15570.6951650049,23568.8110553973,
AL,2703601,Japaratinga,6213.3123635448,10109.4480995453,14681.2539259825,23639.9287258611,
AL,2703700,Jaramataia,4173.5703549272,4999.9754011422,7801.6456047889,17636.409921767,
AL,2703759,Jequiá da Praia,,,,,
AL,2703809,Joaquim Gomes,30789.4197641438,42613.337920342,39137.2155012985,67226.0764359111,
AL,2703908,Jundiá,20520.4687981286,25099.9471230088,29704.2171995073,14076.1312277661,
AL,2704005,Junqueiro,29716.4438972159,76999.4467519257,56201.9508353931,78278.7840708798,
AL,2704104,Lagoa da Canoa,17987.6941701516,33726.410571279,38739.3855695414,59688.4777735018,
AL,2704203,Limoeiro de Anadia,23257.9775470874,25482.4676304528,34586.3629422477,60474.2125931437,
AL,2704302,Maceió,2615596.63867672,4357098.07264771,6986946.21455439,13399420.1009211,
AL,2704401,Major Isidoro,25251.4668025631,34933.0855211774,46480.9133895664,51559.3728784939,
AL,2704500,Maragogi,39479.2661641389,27435.1919754569,38105.0023233735,85089.4915588667,
AL,2704609,Maravilha,12427.1086610566,18650.1645537802,19275.8982942806,29948.6243869955,
AL,2704708,Marechal Deodoro,41071.8313842097,69588.8514469465,77692.643011976,314007.336436104,
AL,2704807,Maribondo,28902.2706485034,51718.6413164676,52878.4965216841,94865.9911845991,
AL,2704906,Mar Vermelho,6091.5094654599,4659.3967529418,7047.228446755,15257.7654806692,
AL,2705002,Mata Grande,26890.1205817484,43797.2341222169,45825.7047507173,68790.492269031,
AL,2705101,Matriz de Camaragibe,36575.5256076956,57770.5140153123,60376.2675450148,112280.972803893,
AL,2705200,Messias,15211.8069293176,25839.5427110759,28472.2541217774,76499.664217238,
AL,2705309,Minador do Negrão,13301.0078025202,16475.726359669,14280.155632412,15996.314556449,
AL,2705408,Monteirópolis,8868.1835075216,6975.4987186955,10112.392951879,20892.9992740084,
AL,2705507,Murici,84431.2774226251,93287.1228753602,73016.5608016709,117479.9737086,
AL,2705606,Novo Lino,25440.6196000773,30779.2820817969,28021.8849211583,35768.2476908241,
AL,2705705,Olho d'Água das Flores,30297.9251862259,40930.1829656962,54986.4390623487,95875.6060965406,
AL,2705804,Olho d'Água do Casado,4817.0974734359,9977.7979472511,14493.8105475165,20285.7746532642,
AL,2705903,Olho d'Água Grande,3662.6901359278,6469.2545556725,5631.1115412891,10889.3892635138,
AL,2706000,Olivença,12661.0091574436,14204.8925894206,13386.3719506239,20801.2687457448,
AL,2706109,Ouro Branco,7299.5891237457,11232.129609594,17881.891383238,32036.6535832421,
AL,2706208,Palestina,4057.5752287695,4184.4610072834,6628.1422759596,16187.6551447081,
AL,2706307,Palmeira dos Índios,255159.964915651,289058.515011614,337123.142338315,410452.728877297,
AL,2706406,Pão de Açúcar,45044.8808413265,49958.3093586386,65057.6265316905,90561.1465352921,
AL,2706422,Pariconha,,,,23392.9191537263,
AL,2706448,Paripueira,,,,53012.7791536256,
AL,2706505,Passo de Camaragibe,13342.3376292641,23557.8005687399,25918.1768451615,42937.9032949209,
AL,2706604,Paulo Jacinto,22258.3956466455,24293.5920882946,18126.6586664074,37734.9641951617,
AL,2706703,Penedo,190061.435439704,201578.403581311,239036.268713107,332210.984745695,
AL,2706802,Piaçabuçu,29110.4427790317,40836.9090309717,62038.9730899737,75612.1016630112,
AL,2706901,Pilar,67601.0870504517,104310.823535219,104295.901121205,242916.510649885,
AL,2707008,Pindoba,11729.191966386,9977.8180719878,4783.193772594,9135.4898561186,
AL,2707107,Piranhas,8662.8291368282,11305.6538259036,65330.0224051569,60719.0021552242,
AL,2707206,Poço das Trincheiras,10529.7099509543,10882.7168821068,12567.1551987399,24006.4654663117,
AL,2707305,Porto Calvo,47681.2146026193,62756.172311041,63036.3684711218,108232.565704238,
AL,2707404,Porto de Pedras,16947.809246434,21638.330002719,16010.409470023,25676.0385615477,
AL,2707503,Porto Real do Colégio,24230.6458192508,33440.1756175647,38602.4669500147,63040.5190110006,
AL,2707602,Quebrangulo,32786.1911339067,23565.5397187533,30174.9204580077,45256.9287308081,
AL,2707701,Rio Largo,217878.739637879,262149.408759878,233928.328069627,593560.185520889,
AL,2707800,Roteiro,4572.8064267028,16332.7024299975,15790.9333926815,23662.155513317,
AL,2707909,Santa Luzia do Norte,7044.9739406073,14830.6912514012,22653.4663379827,46445.9013369683,
AL,2708006,Santana do Ipanema,94373.6561256826,128941.784561198,113189.329460554,178084.424451602,
AL,2708105,Santana do Mundaú,28871.6023003391,25862.6087819605,26807.4069804051,45518.3788476116,
AL,2708204,São Brás,9912.0502135597,12155.4648631196,12878.7659793841,22068.4110791146,
AL,2708303,São José da Laje,80940.1761888349,82465.7574857091,75760.9022788743,120443.952803639,
AL,2708402,São José da Tapera,26878.1196660873,30929.5742755217,37390.3811464713,56545.1012127721,
AL,2708501,São Luís do Quitunde,38589.9569417705,74536.0525073998,70070.4944610102,103089.327311209,
AL,2708600,São Miguel dos Campos,118743.91448852,224368.681298644,207373.130947889,372206.569115156,
AL,2708709,São Miguel dos Milagres,7027.7400974713,13247.6751350409,9408.6695763314,18889.309731808,
AL,2708808,São Sebastião,19942.171577849,32194.0679669086,52772.2280138239,80610.720745475,
AL,2708907,Satuba,21966.6010212281,30049.0537699567,43854.4941218171,153087.327631665,
AL,2708956,Senador Rui Palmeira,,,14980.8168917926,24835.0317743602,
AL,2709004,Tanque d'Arca,8360.3801540688,12641.6058981285,13480.2603076044,23457.4477818495,
AL,2709103,Taquarana,19899.7149683542,26379.8276223082,35826.9181897097,45412.8104218186,
AL,2709152,Teotônio Vilela,,,103642.785926417,153211.642555956,
AL,2709202,Traipu,20760.9286860271,37493.2149385917,31020.0690889934,44464.8108090094,
AL,2709301,União dos Palmares,147797.553245944,194700.907616833,181861.849267886,369286.250767358,
AL,2709400,Viçosa,84814.5668487057,72859.2014021057,86020.9211994552,130131.739761347,
AM,1300029,Alvarães,,,11210.0484371013,28730.6634902726,
AM,1300060,Amaturá,,,6142.6088868552,17272.2468105406,
AM,1300086,Anamã,,,7157.221141387,15291.187902065,
AM,1300102,Anori,21304.5562908391,27015.0284815256,17004.1255991209,32075.571504132,
AM,1300144,Apuí,,,13098.8599828187,41980.4794354402,
AM,1300201,Atalaia do Norte,15162.3096044634,11964.2211141547,12737.0850174466,20234.3703572375,
AM,1300300,Autazes,37842.9658610646,29506.848439244,24170.4090752122,58339.4189591598,
AM,1300409,Barcelos,31176.0741715527,22199.226860604,19745.7157954985,52974.7858152453,
AM,1300508,Barreirinha,19149.2332490592,22354.2471423212,20588.5612349715,41474.8421547596,
AM,1300607,Benjamin Constant,46080.2209223523,61572.5599384315,40858.3644528191,64056.6447200073,
AM,1300631,Beruri,,,7242.2118531267,22061.6390200496,
AM,1300680,Boa Vista do Ramos,,,8641.2443227414,16194.8990335122,
AM,1300706,Boca do Acre,42576.2181310518,58640.9698265286,43902.9672733157,89475.9502865205,
AM,1300805,Borba,27148.7422851061,45156.0496390607,28594.2166490953,58257.7366410957,
AM,1300839,Caapiranga,,,10729.9280553673,20762.1530016403,
AM,1300904,Canutama,12214.9411248176,10389.840344059,15266.2432436969,20878.8299416639,
AM,1301001,Carauari,34189.470907102,33760.5672860473,37961.7056970202,52320.3668598175,
AM,1301100,Careiro,84564.1917463977,54632.5199531599,43413.4717730659,59363.8082684156,
AM,1301159,Careiro da Várzea,,,20981.7792954269,29651.9024803614,
AM,1301209,Coari,68261.046692553,92852.2897070871,90824.9282273003,208343.152411709,
AM,1301308,Codajás,24642.428631344,29485.5656995222,21140.5779661826,49308.6112530631,
AM,1301407,Eirunepé,21389.8147159138,37164.0874100026,30764.4311441939,56882.3203771457,
AM,1301506,Envira,20973.1000153956,21508.2612260772,18681.2554570095,26303.1172344575,
AM,1301605,Fonte Boa,18872.5459577829,26269.1782383137,21486.8089333287,44796.8448124945,
AM,1301654,Guajará,,,12263.0971503005,16142.8375598044,
AM,1301704,Humaitá,37665.7840308822,77123.4149042981,80849.811446244,150507.798015813,
AM,1301803,Ipixuna,21575.582764673,23249.1392110097,7458.5720604821,21839.7254729214,
AM,1301852,Iranduba,,,27627.0367712791,89005.4229332332,
AM,1301902,Itacoatiara,105984.479219936,192055.787738792,175965.724783402,313151.972818414,
AM,1301951,Itamarati,,,10046.7799232544,11395.4489067466,
AM,1302009,Itapiranga,5820.4121369007,14542.6987713527,9481.1211281334,20755.2025288977,
AM,1302108,Japurá,6266.8514500831,6091.3620248415,9972.4527825952,16239.1677634748,
AM,1302207,Juruá,13453.5374984376,12700.8783001753,4789.5848148035,12529.2031244495,
AM,1302306,Jutaí,11929.7750392634,15939.342052033,18229.585515455,25067.406769663,
AM,1302405,Lábrea,24950.8285215092,46072.8626490491,55781.7162704824,67223.8565301714,
AM,1302504,Manacapuru,97800.4494989891,159550.91044132,158800.238944931,270743.973393709,
AM,1302553,Manaquiri,,,8588.451629137,34487.7303266639,
AM,1302603,Manaus,2517779.92034036,6755544.66224568,8983261.86793776,14199948.8472508,
AM,1302702,Manicoré,48070.0546627125,76069.6098850506,57424.807009162,94031.374486282,
AM,1302801,Maraã,14218.8771986684,11655.4006493891,11999.8470766756,26249.8430012442,
AM,1302900,Maués,64077.7493536258,73492.3847691211,82060.834199978,125059.436420423,
AM,1303007,Nhamundá,21627.0700231157,17197.93076253,16720.4879033515,33888.5339364351,
AM,1303106,Nova Olinda do Norte,22743.6099058009,28528.3867936559,23908.9337964009,47446.2022051137,
AM,1303205,Novo Airão,20602.7053124168,8610.8594137636,22071.4997129088,36691.2921588025,
AM,1303304,Novo Aripuanã,33384.6458563441,21315.1698853178,17125.7041093453,37618.5012335221,
AM,1303403,Parintins,101983.25813511,181323.680349494,159105.897204909,294332.592866073,
AM,1303502,Pauini,19396.8263341068,16962.1086100847,18517.5474714082,18914.8191130879,
AM,1303536,Presidente Figueiredo,,,54413.9721933648,122285.506770241,
AM,1303569,Rio Preto da Eva,,,15732.5863415676,62773.8031257141,
AM,1303601,Santa Isabel do Rio Negro,5721.6698681613,5084.2392527181,15935.3028567382,14257.5983301837,
AM,1303700,Santo Antônio do Içá,17125.6780133289,20810.6954712409,18449.293057884,34463.0186892769,
AM,1303809,São Gabriel da Cachoeira,31772.0443252166,31761.6044159951,37464.8101354161,90053.6113090774,
AM,1303908,São Paulo de Olivença,28024.6669545384,28569.0478359504,10667.7013754615,30831.3549868309,
AM,1303957,São Sebastião do Uatumã,,,9773.916432098,18317.4218877518,
AM,1304005,Silves,7152.1233970347,11375.9969409451,12870.9521987721,20967.4896806758,
AM,1304062,Tabatinga,,,72122.8660767068,162457.457980081,
AM,1304104,Tapauá,20531.2790789079,23873.1691849341,19721.4323336741,29164.8398875721,
AM,1304203,Tefé,44543.1530196357,94298.0376555214,156413.479702447,258903.830996626,
AM,1304237,Tonantins,,,9666.2614098183,22174.0724763772,
AM,1304260,Uarini,,,7275.3696565425,19410.1444537127,
AM,1304302,Urucará,11532.5191388348,17882.7387496034,23440.5833624097,54202.8467511354,
AM,1304401,Urucurituba,12733.0807597046,20613.769962907,11769.3434586027,25889.1291933919,
AP,1600055,Serra do Navio,,,,22255.3124916522,
AP,1600105,Amapá,23860.9723871913,20441.5920039099,18463.0100790284,31416.0770923603,
AP,1600154,Pedra Branca do Amaparí,,,,8721.3223439635,
AP,1600204,Calçoene,7951.8735756074,13395.5811453682,11568.8071709845,21000.1807143728,
AP,1600212,Cutias,,,,7453.7385014892,
AP,1600238,Ferreira Gomes,,,4168.3227855901,15872.2659701075,
AP,1600253,Itaubal,,,,6654.0327073831,
AP,1600279,Laranjal do Jari,,,45445.4708700239,134251.046550717,
AP,1600303,Macapá,471801.082018193,771812.336310042,1108360.28590669,2223360.45092339,
AP,1600402,Mazagão,31336.0944958746,57326.6884358201,14265.3785427129,33077.7256970893,
AP,1600501,Oiapoque,25086.1935169748,17579.655333033,25083.4959003157,74290.2271551549,
AP,1600535,Porto Grande,,,,50275.651958887,
AP,1600550,Pracuúba,,,,5948.5338353041,
AP,1600600,Santana,,,187312.424606935,432172.680701972,
AP,1600709,Tartarugalzinho,,,6915.7659248387,20510.0370262885,
AP,1600808,Vitória do Jari,,,,25563.2244360554,
BA,2900108,Abaíra,18755.187016769,26197.5716210928,25838.3301087142,47649.3760756925,
BA,2900207,Abaré,10385.4851717375,26994.6817271093,22867.5305101328,53191.4408683349,
BA,2900306,Acajutiba,26073.4041819449,48245.3687260018,43116.681757117,66433.1108517303,
BA,2900355,Adustina,,,22486.4627519873,56999.8242926884,
BA,2900405,Água Fria,21019.8121140397,21497.1296807994,16959.082900576,37562.4617440197,
BA,2900504,Érico Cardoso,8865.7193139045,8490.4634504493,16951.9673161031,34862.2807074375,
BA,2900603,Aiquara,14122.1261276201,20375.6508621592,19195.0152805905,28498.5177471101,
BA,2900702,Alagoinhas,533951.025893789,831058.425619209,839580.48478631,1265241.4930161,
BA,2900801,Alcobaça,59458.3574361325,171418.668302675,50789.4426789528,128520.547001703,
BA,2900900,Almadina,25424.5340540764,34205.1536522502,27734.1201016323,47826.8196786723,
BA,2901007,Amargosa,78108.8812100217,111374.578782032,104478.24296448,209207.661649694,
BA,2901106,Amélia Rodrigues,59750.6070161182,92764.3019981126,84540.9913978167,145838.85440402,
BA,2901155,América Dourada,,,33608.9386138777,55114.1128253599,
BA,2901205,Anagé,33623.7896924763,52577.2301973456,56918.7910683331,82939.234427255,
BA,2901304,Andaraí,44524.8833122598,44324.4202138336,27353.6218706002,45319.9644202336,
BA,2901353,Andorinha,,,33686.7303442727,57879.9237019354,
BA,2901403,Angical,18186.8077800898,25585.2420052116,33007.9099235752,52844.3830064519,
BA,2901502,Anguera,14035.1853887332,22892.5984399146,18567.7252793561,33291.1195204507,
BA,2901601,Antas,34809.52262504,63327.8214825306,38895.2577180425,80504.1221215458,
BA,2901700,Antônio Cardoso,16910.042186036,16787.4500010022,14314.4370721895,33464.5919709873,
BA,2901809,Antônio Gonçalves,15945.4352848862,20008.5657194654,33687.7177544416,46217.300032789,
BA,2901908,Aporá,21916.8753735531,31150.7341918895,40869.6652657853,63089.1965018248,
BA,2901957,Apuarema,,,17806.4406613417,33076.3205462594,
